CODE	TITLE 	LANGUAGE
SLPS-03085 	 '99 KOSHIEN [MAGICAL 1500 SERIES] 	 [J]
SLPS-00004 	 A IV EVOLUTION 	 [J]
SLPS-00011 	 A IV EVOLUTION - A RESSHA DE IKOU 4 (COMMEMORATIVE LIMITED SET] 	 [J]
SLPS-00125 	 A IV EVOLUTION GLOBAL 	 [J]
SLPS-91019 	 A IV EVOLUTION GLOBAL [PLAYSTATION THE BEST] 	 [J]
SLPM-87231 	 A IV EVOLUTION GLOBAL [SUPERLITE 1500 SERIES] 	 [J]
SLPS-01120 	 A5 - A RESSHA DE IKOU 5 	 [J]
SLPS-91124 	 A5 - A RESSHA DE IKOU 5 [PLAYSTATION THE BEST] 	 [J]
SLPM-87238 	 A5 - A RESSHA DE IKOU 5 [SUPERLITE 1500 SERIES] 	 [J]
SLPS-01424 	 A NANJARIN 	 [J]
SLPS-02050 	 A RESSHA DE IKOU Z: MEZASE! TAIRIKU OUDAN 	 [J]
SLPS-02812 	 A RESSHA DE IKOU Z: MEZASE! TAIRIKU OUDAN [ARTDINK BEST CHOICE] 	 [J]
SLPM-87282 	 A RESSHA DE IKOU Z: MEZASE! TAIRIKU OUDAN [SUPERLITE 1500 SERIES] 	 [J]
SLPS-01280 	 ABALABURN 	 [J]
SLPS-01118 	 ABE A GO GO 	 [J]
SLPS-02095	 ABE '99  -  [ 2 DISCS ] 	 [J]
SLPS-02096 	 ABE '99  -  [ 2 DISCS ] 	 [J]
SLPS-00061 	 ACE COMBAT 	 [J]
SLPS-91005 	 ACE COMBAT [PLAYSTATION THE BEST] 	 [J]
SLPS-00830 	 ACE COMBAT 2 	 [J]
SLPS-91146 	 ACE COMBAT 2 [PLAYSTATION THE BEST] 	 [J]
SCPS-45397	 ACE COMBAT 3 - ELECTROSPHERE  -  [ 2 DISCS ] 	 [J]
SCPS-45398 	 ACE COMBAT 3 - ELECTROSPHERE  -  [ 2 DISCS ] 	 [J]
SLPS-02020	 ACE COMBAT 3 - ELECTROSPHERE  -  [ 2 DISCS ] 	 [J]
SLPS-02021 	 ACE COMBAT 3 - ELECTROSPHERE  -  [ 2 DISCS ] 	 [J]
SLPS-91214	 ACE COMBAT 3 - ELECTROSPHERE [PLAYSTATION THE BEST]  -  [ 2 DISCS ] 	 [J]
SLPS-91215 	 ACE COMBAT 3 - ELECTROSPHERE [PLAYSTATION THE BEST]  -  [ 2 DISCS ] 	 [J]
SLPS-02119 	 ACID 	 [E]
SLPM-86589 	 ACID [MAJOR WAVE SERIES] 	 [E]
SCPS-10131	 ACONCAGUA  -  [ 2 DISCS ] 	 [J][E]
SCPS-10132 	 ACONCAGUA  -  [ 2 DISCS ] 	 [J][E]
SLPS-02482 	 ACTION BASS 	 [J]
SLPM-86927 	 ACTION BASS [POKKIRI 1400 SERIES] 	 [J]
SLPS-02586 	 ACTION PUZZLE - PRISM LAND [HONKAKUHA DE SERIES] 	 [J]
SLPS-00298 	 ACTUA GOLF 	 [J]
SLPM-86078 	 ACTUA ICE HOCKEY 	 [J]
SLPS-00297 	 ACTUA SOCCER 	 [J]
SLPS-03510 	 AD LIB OUJI - PRINCE & UNPLEASANT FRIENDS 	 [J]
SCPS-10126 	 ADDIE NO OKURIMONO - TO MOZE FROM ADDIE 	 [J]
SLPS-01689 	 ADVAN RACING 	 [E]
SLPS-00208 	 ADVANCED V.G. 	 [J]
SLPM-87122 	 ADVANCED V.G. [NATSU-COLE SERIES VOL.1] 	 [J]
SLPM-87227 	 ADVANCED V.G. [SUPERLITE 1500 SERIES] 	 [J]
SLPS-01318 	 ADVANCED V.G. 2 	 [J]
SLPM-87226 	 ADVANCED V.G. 2 [SUPERLITE 1500 SERIES] 	 [J]
SLPS-02367 	 AERODIVE 	 [J]
SLPS-00995 	 AFRAID GEAR 	 [J]
SLPM-86876 	 AFRAID GEAR [REPRINT] 	 [J]
SLPM-86834 	 AFRAID GEAR ANOTHER 	 [J]
SLPS-01073 	 AGENT ARMSTRONG - HIMITSU SHIREI DAISAKUSEN 	 [J]
SLPS-00179 	 AGILE WARRIOR 	 [J]
SLPS-02411 	 AI MAHJONG 2000 	 [J]
SLPM-87117 	 AI MAHJONG SELECTION [MAJORWAVE 1500 SERIES] 	 [J]
SLPS-00109 	 AI SHOGI 	 [J]
SLPS-00840 	 AI SHOGI [REPRINT] 	 [J]
SLPS-01159 	 AI SHOGI 2 	 [J]
SLPS-02285 	 AI SHOGI 2 DELUXE 	 [J]
SLPM-87068 	 AI SHOGI SELECTION [MAJOR WAVE 1500 SERIES] 	 [J]
SLPS-00269 	 AIR MANAGEMENT '96 	 [J]
SLPM-86788 	 AIR MANAGEMENT [KOEI TEIBAN SERIES] 	 [J]
SLPM-86206 	 AIR MANAGEMENT [KOEI THE BEST] 	 [J]
SLPS-01879 	 AIR RACE CHAMPIONSHIP 	 [J]
SLPS-03074 	 AIR RACE CHAMPIONSHIP [XING MARUYASU SERIES VOL.8] 	 [J]
SIPS-60005 	 AIRASSAULTS 	 [J]
SLPS-00559 	 AIRGRAVE 	 [J]
SLPS-01096 	 AISHIAU KOTOSHIKA DEKINAI - NOTHING BUT LOVING YOU 	 [J]
SLPS-02824 	 AISHIAU KOTOSHIKA DEKINAI - NOTHING BUT LOVING YOU [PLAYSTATION THE BEST] 	 [J]
SLPM-86254	 AITAKUTE... YOUR SMILES IN MY HEART  -  [ 4 DISCS ] 	 [J]
SLPM-86255	 AITAKUTE... YOUR SMILES IN MY HEART  -  [ 4 DISCS ] 	 [J]
SLPM-86256	 AITAKUTE... YOUR SMILES IN MY HEART  -  [ 4 DISCS ] 	 [J]
SLPM-86257 	 AITAKUTE... YOUR SMILES IN MY HEART  -  [ 4 DISCS ] 	 [J]
SCPS-45302 	 AIZOUBAN HOUSHINENGI 	 [J]
SLPM-86209 	 AIZOUBAN HOUSHINENGI 	 [J]
SLPS-01462 	 AKAGAWA JIROU - YASOUKYOKU 	 [J]
SLPS-01415 	 AKAGAWA JIROU - YASOUKYOKU [LIMITED EDITION] 	 [J]
SLPS-91151 	 AKAGAWA JIROU - YASOUKYOKU [PLAYSTATION THE BEST] 	 [J]
SLPS-91503 	 AKAGAWA JIROU - YASOUKYOKU [PSONE BOOKS] 	 [J]
SLPS-03213 	 AKAGAWA JIROU - YASOUKYOKU 2 	 [J]
SLPS-91505 	 AKAGAWA JIROU - YASOUKYOKU 2 [PSONE BOOKS] 	 [J]
SLPS-00187 	 AKAGI TOPAITEN 	 [J]
SLPS-00619 	 AKAZU NO MA 	 [J]
SLPS-03263 	 AKAZU NO MA [REPRINT] 	 [J]
SLPS-02961 	 ALABAMA - POP DE CUTE NA SHINRI TEST 	 [J]
SLPS-01578 	 ALBALEA NO OTOME - URUWASHI NO SEISHIKITACHI 	 [J]
SLPS-00636 	 ALICE IN CYBERLAND 	 [J]
SLPS-01003	 ALICE IN BORDERLINES  -  [ 3 DISCS ] 	 [J]
SLPS-01004	 ALICE IN BORDERLINES  -  [ 3 DISCS ] 	 [J]
SLPS-01005 	 ALICE IN BORDERLINES  -  [ 3 DISCS ] 	 [J]
SLPS-00332 	 ALIEN TRILOGY 	 [J]
SLPS-01527	 ALIVE  -  [ 3 DISCS ] 	 [J]
SLPS-01528	 ALIVE  -  [ 3 DISCS ] 	 [J]
SLPS-01529 	 ALIVE  -  [ 3 DISCS ] 	 [J]
SLPS-00993 	 ALL-STAR MAHJONG - KAREINARU SHOBUSHI KARA NO CHOSEN 	 [J]
SLPS-01962 	 ALL STAR TENNIS '99 	 [J]
SLPS-00843 	 ALLIED GENERAL 	 [J]
SLPS-00173 	 ALNAM NO KIBA - FANG OF ALNAM 	 [J]
SLPS-01187	 ALNAM NO TSUBASA - WING OF ALNAM  -  [ 3 DISCS ] 	 [J]
SLPS-01188	 ALNAM NO TSUBASA - WING OF ALNAM  -  [ 3 DISCS ] 	 [J]
SLPS-01189 	 ALNAM NO TSUBASA - WING OF ALNAM  -  [ 3 DISCS ] 	 [J]
SLPM-87005	 ALONE IN THE DARK - THE NEW NIGHTMARE  -  [ 2 DISCS ] 	 [J]
SLPM-87006 	 ALONE IN THE DARK - THE NEW NIGHTMARE  -  [ 2 DISCS ] 	 [J]
SLPS-00141 	 ALONE IN THE DARK 2 	 [J]
SCPS-10035 	 ALUNDRA 	 [J]
SCPS-45449 	 ALUNDRA 2 - MASHINKA NO NAZO 	 [J]
SCPS-10115 	 ALUNDRA 2 - MASHINKA NO NAZO 	 [J]
SLPS-00241 	 AMERICA OUDAN ULTRA QUIZ 	 [J]
SLPS-91484 	 AMERICA OUDAN ULTRA QUIZ [PSONE BOOKS] 	 [J]
SLPS-01802 	 AMERICA OUDAN ULTRA QUIZ [RERELEASE] 	 [J]
SLPS-01108	 ANCIENT ROMAN - POWER OF THE DARK SIDE  -  [ 2 DISCS ] 	 [J]
SLPS-01109 	 ANCIENT ROMAN - POWER OF THE DARK SIDE  -  [ 2 DISCS ] 	 [J]
SLPS-00759 	 ANDRETTI RACING 	 [J]
SLPS-00894 	 ANGEL BLADE - NEO TOKYO GUARDIANS 	 [J]
SLPM-86960 	 ANGEL BLADE - NEO TOKYO GUARDIANS [MAJOE WAVE SERIES] 	 [J]
SLPS-00163 	 ANGEL GRAFFITI - ANATHE NO PROFILE 	 [J]
SLPS-00306 	 ANGEL GRAFFITI - ANATHE NO PROFILE [LIMITED EDITION] 	 [J]
SLPS-01337 	 ANGELIQUE DUET 	 [J]
SLPM-86493 	 ANGELIQUE DUET [KOEI THE BEST] 	 [J]
SLPS-01336 	 ANGELIQUE DUET [PREMIUM BOX] 	 [J]
SLPM-86506	 ANGELIQUE HISTORY  -  [ 5 DISCS ] 	 [J]
SLPM-86507	 ANGELIQUE HISTORY  -  [ 5 DISCS ] 	 [J]
SLPM-86508	 ANGELIQUE HISTORY  -  [ 5 DISCS ] 	 [J]
SLPM-86509	 ANGELIQUE HISTORY  -  [ 5 DISCS ] 	 [J]
SLPM-86510 	 ANGELIQUE HISTORY  -  [ 5 DISCS ] 	 [J]
SLPS-00320 	 ANGELIQUE SPECIAL 	 [J]
SLPS-00517 	 ANGELIQUE SPECIAL [PREMIUM BOX] 	 [J]
SLPM-86189 	 ANGELIQUE SPECIAL [KOEI THE BEST] 	 [J]
SLPM-86787 	 ANGELIQUE SPECIAL [KOEI TEIBAN SERIES] 	 [J]
SLPS-00805 	 ANGELIQUE SPECIAL 2 	 [J]
SLPM-86492 	 ANGELIQUE SPECIAL 2 [KOEI THE BEST] 	 [J]
SLPS-00745 	 ANGELIQUE SPECIAL 2 [PREMIUM BOX] 	 [J]
SLPM-86165 	 ANGELIQUE TENKUU NO REQUIEM 	 [J]
SLPM-86164 	 ANGELIQUE TENKUU NO REQUIEM [PREMIUM BOX] 	 [J]
SLPM-86289 	 ANGELIQUE TENKUU NO REQUIEM [KOEI SUMMER CAMPAIGN] 	 [J]
SLPM-86595 	 ANGELIQUE TENKUU NO REQUIEM [KOEI THE BEST] 	 [J]
SLPM-86278 	 ANGOLMOIS '99 [SUPERLITE 1500 SERIES] 	 [J]
SLPS-01830	 ANIMETIC STORY GAME CARD CAPTOR SAKURA  -  [ 2 DISCS ] 	 [J]
SLPS-01831 	 ANIMETIC STORY GAME CARD CAPTOR SAKURA  -  [ 2 DISCS ] 	 [J]
SLPS-01068	 ANKH - TUTANKHAMEN NO NAZO  -  [ 2 DISCS ] 	 [J]
SLPS-01069 	 ANKH - TUTANKHAMEN NO NAZO  -  [ 2 DISCS ] 	 [J]
SLPS-01522 	 ANOKODOKONOKO 	 [J]
SLPS-01431 	 ANOTHER MEMORIES 	 [J]
SLPS-01655 	 ANOTHER MIND 	 [J]
SLPS-02940	 AO NO ROKOGOU - ANTARCTICA  -  [ 2 DISCS ] 	 [J]
SLPS-02941 	 AO NO ROKOGOU - ANTARCTICA  -  [ 2 DISCS ] 	 [J]
SLPS-03564 	 AO ZORA TO NAKAMA TACHI - YUME NO BOUKEN 	 [J]
SLPS-01579 	 AOKI OHKAMI TO SHIROKIMEJIKA - GENCHOHISHI 	 [J]
SLPM-86859 	 AOKI OHKAMI TO SHIROKIMEJIKA - GENCHOHISHI [KOEI TEIBAN SERIES] 	 [J]
SLPM-86303 	 AOKI OHKAMI TO SHIROKIMEJIKA - GENCHOHISHI [KOEI THE BEST] 	 [J]
SLPM-86271 	 APOCALYPSE 	 [J]
SLPM-86879 	 APOCALYPSE [SUPERLITE 1500 SERIES] 	 [J]
SLPS-03095 	 AQUA PARADISE - BOKU NO SUIZOKUKAN 	 [J]
SLPS-00060 	 AQUANAUT NO KYUUJITSU 	 [J]
SLPS-00406 	 AQUANAUT NO KYUUJITSU - MEMORIES OF SUMMER '96 	 [J]
SLPS-02023 	 AQUANAUT NO KYUUJITSU - MEMORIES OF SUMMER '96 [ARTDINK BEST CHOICE] 	 [J]
SLPS-02141 	 AQUANAUT NO KYUUJITSU 2 	 [J]
SLPS-02919 	 AQUANAUT NO KYUUJITSU 2 [ARTDINK BEST CHOICE] 	 [J]
SLPS-02731 	 AQUARIAN AGE - TOKYO WARS 	 [J]
SCPS-10008 	 ARC THE LAD 	 [J]
SCPS-91004 	 ARC THE LAD [PLAYSTATION THE BEST] 	 [J]
SCPS-91302 	 ARC THE LAD [PSONE BOOKS] 	 [J]
SCPS-10026 	 ARC THE LAD 2 	 [J]
SCPS-91071 	 ARC THE LAD 2 [PLAYSTATION THE BEST] 	 [J]
SCPS-91310 	 ARC THE LAD 2 [PSONE BOOKS] 	 [J]
SCPS-45438	 ARC THE LAD III  -  [ 2 DISCS ] 	 [J]
SCPS-45439 	 ARC THE LAD III  -  [ 2 DISCS ] 	 [J]
SCPS-10106	 ARC THE LAD III  -  [ 2 DISCS ] 	 [J]
SCPS-10107 	 ARC THE LAD III  -  [ 2 DISCS ] 	 [J]
SCPS-91228	 ARC THE LAD III [PLAYSTATION THE BEST]  -  [ 2 DISCS ] 	 [J]
SCPS-91229 	 ARC THE LAD III [PLAYSTATION THE BEST]  -  [ 2 DISCS ] 	 [J]
SCPS-91316	 ARC THE LAD III [PSONE BOOKS]  -  [ 2 DISCS ] 	 [J]
SCPS-91317 	 ARC THE LAD III [PSONE BOOKS]  -  [ 2 DISCS ] 	 [J]
SCPS-10040	 ARC THE LAD MONSTER GAME WITH CASINO GAME  -  [ 2 DISCS ] 	 [J]
SCPS-10041 	 ARC THE LAD MONSTER GAME WITH CASINO GAME  -  [ 2 DISCS ] 	 [J]
SLPM-87067 	 ARCADE HITS - CRAZY CLIMBER [MAJOR WAVE SERIES] 	 [E]
SLPM-87118 	 ARCADE HITS - FRISKY TOM [MAJOR WAVE SERIES] 	 [E]
SLPM-87082 	 ARCADE HITS - MOON CRESTA [MAJOR WAVE SERIES] 	 [E]
SLPM-86613 	 ARCADE HITS - RAIDEN [MAJOR WAVE SERIES] 	 [J]
SLPM-87228 	 ARCADE HITS - SHIENRYU [MAJOR WAVE SERIES] 	 [J]
SLPM-87255 	 ARCADE HITS - SOUKYU-GURENTAI [MAJOR WAVE SERIES] 	 [J]
SLPM-87145 	 ARCADE HITS - SUIKO ENBU - OUTLAWS OF THE LOST DYNASTY [MAJOR WAVE SERIES] 	 [J]
SLPS-00428 	 ARE! MO KORE? MO MOMOTAROU 	 [J]
SLPS-00726 	 AREA 51 	 [J]
SLPS-00725 	 AREA 51 SPECIAL PACK 	 [J]
SLPS-01438 	 ARKANA SENKI LUDO 	 [J]
SLPM-86262 	 ARKANOID R 2000 	 [J]
SLPS-00948 	 ARKANOID RETURNS 	 [J]
SLPS-01598 	 ARMED FIGHTER 	 [J]
SCPS-45060 	 ARMORED CORE 	 [J]
SLPS-00900 	 ARMORED CORE 	 [J]
SLPS-91064 	 ARMORED CORE [PLAYSTATION THE BEST] 	 [J]
SLPS-91402 	 ARMORED CORE [PSONE BOOKS] 	 [J]
SLPS-01855	 ARMORED CORE - MASTER OF ARENA  -  [ 2 DISCS ] 	 [J]
SLPS-01856 	 ARMORED CORE - MASTER OF ARENA  -  [ 2 DISCS ] 	 [J]
SLPS-91188	 ARMORED CORE - MASTER OF ARENA [PLAYSTATION THE BEST]  -  [ 2 DISCS ] 	 [J]
SLPS-91189 	 ARMORED CORE - MASTER OF ARENA [PLAYSTATION THE BEST]  -  [ 2 DISCS ] 	 [J]
SLPS-91444	 ARMORED CORE - MASTER OF ARENA [PSONE BOOKS]  -  [ 2 DISCS ] 	 [J]
SLPS-91445 	 ARMORED CORE - MASTER OF ARENA [PSONE BOOKS]  -  [ 2 DISCS ] 	 [J]
SLPS-01130 	 ARMORED CORE - PROJECT PHANTASMA 	 [J]
SLPS-91110 	 ARMORED CORE - PROJECT PHANTASMA [PLAYSTATION THE BEST] 	 [J]
SLPS-91424 	 ARMORED CORE - PROJECT PHANTASMA [PSONE BOOKS] 	 [J]
SLPM-86502 	 ARMORINES - PROJECT SWARM 	 [J]
SLPS-02405 	 ART CAMION - GEIJUTSUDEN 	 [J]
SLPM-87186 	 ART CAMION - GEIJUTSUDEN [TAITO THE BEST] 	 [J]
SLPS-02710 	 ART CAMION - SUGOROKUDEN 	 [J]
SLPS-00363 	 ARTHUR TO ASTAROTH NO NAZO MAIKAMURA - INCREDIBLE TOONS 	 [J]
SLPS-03540 	 ASONDE AIUEO 	 [J]
SLPS-03542 	 Asonde Chinou Up 	[J]
SLPS-03541 	 ASONDE KAZU SUUJI 	 [J]
SLPS-00512 	 ASSAULT RIGS 	 [J]
SCPS-45420 	 ASSAULT SUITS VALKEN 2 	 [J]
SLPS-00854 	 ASSAULT SUITS VALKEN 2 	 [J]
SLPM-86872 	 ASSAULT SUITS VALKEN 2 [RERELEASE] 	 [J]
SLPM-86239 	 ASTEROIDS [SUPERLITE 1500 SERIES] 	 [J]
SLPM-86088	 ASTRONOKA  -  [ 2 DISCS ]	 [J]
SLPM-86089 	 ASTRONOKA  -  [ 2 DISCS ]	 [J]
SLPS-00849 	 ASUKA 120% - BURNING FEST EXCELLENT 	 [J]
SLPS-02074 	 ASUKA 120% - BURNING FEST FINAL 	 [J]
SLPM-87152 	 ASUKA 120% - BURNING FEST FINAL [SUPERLITE 1500 SERIES] 	 [J]
SLPS-00231 	 ASUKA 120% - BURNING FEST SPECIAL 	 [J]
SLPS-01097 	 ASUNCIA - STRATEGIC FANTASY ROLE PLAYING GAME 	 [J]
SLPS-03075 	 ASUNCIA - STRATEGIC FANTASY ROLE PLAYING GAME [XING MARUYASU SERIES 9] 	 [J]
SLPS-01751 	 ATELIER ELIE 	 [J]
SLPS-91180 	 ATELIER ELIE [PLAYSTATION THE BEST] 	 [J]
SLPS-00856 	 ATELIER MARIE 	 [J]
SLPS-01418 	 ATELIER MARIE PLUS 	 [J]
SLPS-91179 	 ATELIER MARIE PLUS [PLAYSTATION THE BEST] 	 [J]
SLPM-86185	 ATHENA - AWAKENING FROM THE ORDINARY LIFE  -  [ 3 DISCS ] 	 [J]
SLPM-86186	 ATHENA - AWAKENING FROM THE ORDINARY LIFE  -  [ 3 DISCS ] 	 [J]
SLPM-86187 	 ATHENA - AWAKENING FROM THE ORDINARY LIFE  -  [ 3 DISCS ] 	 [J]
SLPS-00263 	 ATHENA NO KATEIBAN - FAMILY GAME 	 [J]
SLPS-02751 	 ATHENA NO KATEIBAN - FAMILY GAME [NATTOKU OTOKU 1500-YEN SAI] 	 [J]
SLPM-86636 	 ATV QUAD POWER RACING 	 [J]
SLPS-00546 	 AUBIRDFORCE 	 [J]
SLPS-00533 	 AUBIRDFORCE [LIMITED EDITION] 	 [J]
SLPS-01606 	 AUBIRDFORCE AFTER 	 [J]
SLPS-02390 	 AURA BATTLER DUNBINE 	 [J]
SLPS-03257 	 AURA BATTLER DUNBINE [BANDAI THE BEST] 	 [J]
SLPS-00946	 AYAKASHI NINDEN KUNOITCHIBAN  -  [ 2 DISCS ] 	 [J]
SLPS-00947 	 AYAKASHI NINDEN KUNOITCHIBAN  -  [ 2 DISCS ] 	 [J]
SLPS-00380 	 AYRTON SENNA - KART DUEL 	 [J]
SLPS-01072 	 AYRTON SENNA - KART DUEL 2 	 [J]
SLPS-01659 	 AYRTON SENNA - KART DUEL SPECIAL 	 [E]
SLPS-00683 	 AZITO 	 [J]
SLPM-87284 	 AZITO [MAJOR WAVE SERIES] 	 [J]
SLPS-01526 	 AZITO 2 	 [J]
SLPS-02496 	 AZITO 3 	 [J]
SLPS-03424 	 AZUMANGA DONTARA DAIOU 	 [J]
SLPS-01459 	 B.L.U.E. - LEGEND OF WATER 	 [J]
SCPS-18006 	 BABY UNIVERSE 	 [J]
SLPS-01217	" BACKGAINER - YOMIGAERU YUUSHA-TACHI: KAKUSEI-HEN ""GAINER TENSEI"" "	 [J]
SLPS-01218 	" BACKGAINER - YOMIGAERU YUUSHA-TACHI: KAKUSEI-HEN ""GAINER TENSEI"" "	 [J]
SLPS-01446	" BACKGAINER - YOMIGAERU YUUSHA-TACHI: HISHOU-HEN ""URAGIRI NO SENJOU"" "	 [J]
SLPS-01447	" BACKGAINER - YOMIGAERU YUUSHA-TACHI: HISHOU-HEN ""URAGIRI NO SENJOU"" "	 [J]
SLPS-01448 	" BACKGAINER - YOMIGAERU YUUSHA-TACHI: HISHOU-HEN ""URAGIRI NO SENJOU"" "	 [J]
SLPS-01782 	 BACKGAMMON 	 [J]
SLPS-03228 	 BACKGAMMON [RERELEASE] 	 [J]
SLPS-02729 	 BACKGAMMON 2000 	 [J]
SLPM-86733 	 BACKGAMMON 2000 [REPRINT] 	 [J]
SCPS-45382 	 BAKUMATSU ROMAN - GEKKA NO KENSHIN (THE LAST BLADE) 	 [J]
SLPM-86118 	 BAKUMATSU ROMAN - GEKKA NO KENSHIN (THE LAST BLADE) 	 [J]
SLPM-86436 	 BAKUMATSU ROMAN - GEKKA NO KENSHIN (THE LAST BLADE) [SNK BEST COLLECTION] 	 [J]
SLPS-00236 	 BAKURETSU AKINDO 	 [J]
SLPS-00541 	 BAKURETSU HUNTER - MAHJONG SPECIAL 	 [J]
SLPS-00718 	 BAKURETSU HUNTER - SOREZORE NO OMOI - NOWAAN CHATTE 	 [J]
SLPS-03437 	 BAKURETSU SOCCER 	 [J]
SLPS-02429 	 BAKURYU 	 [J]
SLPS-00158 	 BAKUSHOU!! ORU YOSHIMOTO QUIZ OKETTEI IKUSA DX 	 [J]
SCPS-45264 	 BAKUSOU DEKOTORA DENSETSU (ART TRUCK BATTLE) 	 [J]
SLPS-01441 	 BAKUSOU DEKOTORA DENSETSU (ART TRUCK BATTLE) 	 [J]
SLPS-91172 	 BAKUSOU DEKOTORA DENSETSU (ART TRUCK BATTLE) [PLAYSTATION THE BEST] 	 [J]
SLPS-02465	 BAKUSOU DEKOTORA DENSETSU 2 (ART TRUCK BATTLE 2)  -  [ 2 DISCS ]	[J]
SLPS-02466 	 BAKUSOU DEKOTORA DENSETSU 2 (ART TRUCK BATTLE 2)  -  [ 2 DISCS ]	[J]
SLPS-91219 	 BAKUSOU DEKOTORA DENSETSU 2(ART TRUCK BATTLE 2) [PLAYSTATION THE BEST] 	 [J]
SLPS-01489 	 BAKUSOU KYOUDAI LET'S & GO!! ETERNAL WINGS 	 [J]
SLPS-02093 	 BAKUSOU KYOUDAI LET'S & GO!! ETERNAL WINGS [RERELEASE] 	 [J]
SLPM-86980 	 BAKUTEN SHOOT BEYBLADE 	 [J]
SLPM-87131 	 BAKUTEN SHOOT BEYBLADE 2002 - BEYBATTLE TOURNAMENT 2 	 [J]
SLPM-87130 	 BAKUTEN SHOOT BEYBLADE 2002 - BEYBATTLE TOURNAMENT 2 [LIMITED BOX] 	 [J]
SLPS-01074 	 BALDY LAND 	 [J]
SLPS-00796 	 BALLBLAZER CHAMPIONS 	 [J]
SLPS-02187 	 BARDYSH - KROMEFORD NO JUUNIN 	 [J]
SLPM-86341 	 BAROQUE 	 [J]
SLPM-86759 	 BAROQUE [MAJOR WAVE 1500] 	 [J]
SLPM-86328 	 BAROQUE [LIMITED EDITION] 	 [J]
SLPM-86540 	 BAROQUE SYNDROME 	 [J]
SLPM-86939 	 BAROQUE SYNDROME [MAJOR WAVE 1500] 	 [J]
SLPS-00687 	 BASEBALL NAVIGATOR 	 [J]
SLPS-01123 	 BASEBALL NAVIGATOR [RERELEASE] 	 [J]
SLPS-03055 	 BASEBALL PRO NAMI KUSAYAKYUU 	 [J]
SLPM-86650 	 BASEBALL SIMULATION - ID PURO YAKYU 	 [J]
SLPS-01304 	 BASS FISHERMAN 	 [J]
SLPS-01765 	 BASS LANDING 	 [J]
SLPS-01764 	 BASS LANDING [SPECIAL FISHING SET] 	 [J]
SLPS-03204 	 BASS LANDING [ASCII CASUAL COLLECTION] 	 [J]
SLPS-02647 	 BASS LANDING 2 	 [J]
SLPS-91223 	 BASS LANDING 2 [PLAYSTATION THE BEST] 	 [J]
SLPS-02646 	 BASS LANDING 2 [WITH TSURICON2] 	 [J]
SLPS-00542 	 BASTARD!! UTSURONARU KAMIGAMI NO UTSUWA 	 [J]
